# id	code	note  (manual corrections to prelabel.jsonl after reading each question)
2022#82	R-PUZ	drama scheduling set
2022#83	R-PUZ	drama scheduling set
2022#84	R-PUZ	drama scheduling set
2022#85	R-PUZ	drama scheduling set
2023#43	M-STAT	ranks unchanged when marks shift y=1+x (statistics content; printed in Reasoning part) — changed in audit
2023#52	R-NUM	digit operations on numbers then ordering
2023#59	R-PUZ	activity assignment constraints
2023#60	R-SEAT	queue positions
2024#33	R-DED	conditional statements
2024#47	R-SER	dictionary (alphabetical) order
2025#85	R-CT	apply a definition to examples
2025#96	R-CT	apply economic definition (dumping)
2025#117	R-PS	digit counting in concatenated integers
2025#120	R-CT	infer from experiment design
2026#69	R-CT	identify circular argument
2026#82	X-MATH	mensuration: cone/hemisphere/cylinder volumes
2026#83	M-PROG	AP sum of positive terms (math content in reasoning part)
2026#90	R-DED	valid conclusion from rule
2026#91	R-PUZ	rank from top and bottom
2026#95	R-PUZ	vertical stacking order
2008#103	C-REP	bits for ASCII character
2008#110	C-OS	bootstrap loader location
2008#113	C-BHX	radix equation
2009#100	C-ORG	data bus width
2009#104	C-CPU	index register
2009#105	C-CPU	microprogrammed control unit
2010#67	C-ORG	data-processing functions of a computer
2010#70	X-COMP	data hierarchy (field/record/database)
2010#71	C-ORG	stored-program machine
2010#74	C-IOB	I/O mapped I/O
2011#87	C-TWC	overflow condition in signed addition
2012#107	C-IOB	I/O processor (verified from page image)
2012#114	C-CPU	control unit
2013#113	C-MEM	flip-flop as memory element
2016#92	C-STO	hard disk capacity/addressing
2016#96	C-BHX	base equation solutions
2017#30	C-OS	bootstrap loader location
2017#31	C-BHX	base equation
2018#3	C-BHX	base equation solutions
2018#5	C-BHX	radix equations
2019#57	C-BOOL	logic circuit output
2020#55	C-CPU	CPU cycle definition
2020#57	C-BOOL	bitwise XOR of hex numbers
2021#1	C-CPU	pipelining
2021#7	C-CPU	MAR register
2021#9	C-CPU	instructions per second execution time
2021#10	C-IOB	program-controlled I/O
2022#94	C-REP	bits vs decimal digits of integers
2022#95	C-CPU	clock period
2023#74	C-ORG	Von Neumann architecture
2023#78	C-OS	FAT32 vs NTFS file systems
2023#82	C-MEM	buffer
2023#83	C-CPU	clock period
2023#84	C-MEM	TLB / virtual memory
2023#87	C-CPU	program counter register
2023#88	C-CPU	CPU cycle definition
2024#77	C-IOB	DMA
2024#81	C-MEM	TLB / virtual memory
2024#99	C-BHX	ternary-like number system
2024#101	C-CPU	instruction format
2024#105	C-CPU	register linking CPU and peripherals (answer: memory data register) — changed after audit
2024#109	C-CPU	CPU performance factors
2025#6	C-REP	binary fraction to decimal
2025#14	C-CPU	hardwired vs microprogrammed control
2025#15	C-CPU	instruction encoding
2025#17	C-STO	secondary storage access speed
2025#19	C-REP	ASCII vs Unicode
2025#20	C-CPU	pipeline stages and TLB access
2026#2	C-MEM	memory/storage types match
2026#6	C-WEB	cookies in web browsing
2026#7	C-CPU	fetch-decode-execute cycle
2026#9	C-SYS	system vs application software
2026#104	C-MEM	virtual memory benefit
2026#106	C-SYS	dynamic vs static linking (DLL)
2026#110	C-MEM	memory hierarchy speed order
2026#112	C-WEB	DNS
2026#120	C-CPU	opcode
2008#118	E-WU	double-blank vocabulary fill
2009#120	E-WU	one word fitting both sentences
2010#87	E-WU	double-blank vocabulary fill
2010#91	E-WU	inappropriate usage of a word
2011#119	E-WF	adjective form (hard/hardly/hardship)
2011#120	E-WF	adjective form (parts of speech)
2013#97	E-WU	phrasal verb usage
2016#8	E-WU	collective noun usage
2017#11	E-WU	phrasal verb usage
2018#15	E-WU	collocation
2018#19	E-WU	usage of a word in four ways
2018#27	E-SF	phrase replacement (sentence improvement)
2019#71	E-WU	usage of a word in four ways
2019#75	E-WU	phrasal verb usage
2019#81	E-WU	phrasal verb usage
2009#85	R-CT	argument passage evaluation (printed in Reasoning part, Q85)
2018#103	R-CT	which statement supports paragraph (Reasoning part, Q103)
2020#58	E-TEE	expressions (approval)
2020#59	E-WF	noun form identification
2020#71	E-TW	covering letter with CV (professional writing)
2020#72	E-TW	resume contents (professional writing)
2021#81	X-ANLR	word classification (printed in Reasoning part)
2022#57	X-ANLR	word analogy (printed in Reasoning part)
2022#58	X-ANLR	word analogy (printed in Reasoning part)
2022#66	X-ANLR	word analogy (printed in Reasoning part)
2022#103	E-TW	technical writing register
2022#116	E-SF	phrase replacement (sentence improvement)
2024#1	E-WF	join word halves (word formation)
2024#8	X-ANLR	word analogy (printed in Reasoning part)
2024#45	X-ANLR	word analogy (printed in Reasoning part)
2024#120	E-TW	elements of a technical report
2026#14	E-WU	phrasal verb usage
2026#15	E-TEE	academic/technical verb-noun collocations
2026#75	R-CT	deduce conclusion from paragraph (Reasoning part, Q75)
# audit 2026-09-23: 40 random questions re-read in full (seed 2027): 38 clearly right, 2 borderline (2024#105 changed above; 2016#21 kept)
2018#85	X-DUP	source prints 2018 Q80 twice (Q85 = Q80) — within-paper duplicate, found in audit
